NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
787,E1721000062111,広陽小学校（体育館）,石川県白山市知気寺町と77-2,1,,,36.486978994324,136.60238366512,
788,E1721000064111,くろゆり荘,石川県白山市中宮ク5-32,,,,36.260859507304,136.76328053793,
789,E1721000065111,吉野谷セミナーハウス,石川県白山市中宮ヲ16,1,,,36.275390839186,136.68896395056,
790,E1721000066111,白山郷公園体育館,石川県白山市鶴来大国町ロ125-2,1,,,36.455001635176,136.61951270319,
791,E1721000067111,朝日小学校（体育館）,石川県白山市鶴来日吉町ロ111,1,,,36.444682730798,136.63576854447,
792,E1721000068111,鶴来コミュニティセンター,石川県白山市鶴来本町４丁目ヌ85,,,,36.452756165845,136.62558065199,
793,E1721000069111,鶴来中学校（体育館）,石川県白山市鶴来本町４丁目リ16,,,,36.454086937365,136.62492003064,
794,E1721000070111,郷コミュニティセンター,石川県白山市田中町230,1,,,36.530478643166,136.58907631775,
795,E1721000072111,林コミュニティセンター,石川県白山市道法寺町へ24,1,,,36.483017748787,136.61306503963,
796,E1721000071111,双葉保育所,石川県白山市道法寺町ト73,,,,36.481944809989,136.61073346562,
797,E1721000073111,東明小学校（体育館）,石川県白山市徳丸町207,,,,36.523804614153,136.57896163298,
798,E1721000074111,若宮公園体育館,石川県白山市徳丸町491,,,,36.521689317143,136.5759249645,
799,E1721000075111,松任海浜温泉,石川県白山市徳光町2665-1,,,,36.535938610534,136.53028569856,
800,E1721000076111,蔵山コミュニティセンター,石川県白山市日御子町ホ60-1,,,,36.464932663192,136.61442708229,
801,E1721000077111,舘畑コミュニティセンター,石川県白山市日向町イ19,1,,,36.482663424892,136.5937028931,
802,E1721000078111,北辰中学校（体育館）,石川県白山市日向町ロ24-2,,,,36.483513067831,136.59597737797,
803,E1721000079111,松任高等学校（体育館）,石川県白山市馬場1-100,1,,,36.52026067091,136.56170947577,
804,E1721000080111,一ノ宮コミュニティセンター,石川県白山市白山町カ88-10,,,,36.428315490145,136.63502592259,
805,E1721000081111,白峰コミュニティホール,石川県白山市白峰ハ149,1,,,36.177174317962,136.62433463387,
806,E1721000082111,福祉複合施設カルテット,石川県白山市白峰ハ157-1,,,,36.176256190219,136.62433417162,
807,E1721000083111,白峰地域交流センター（白峰温泉総湯）,石川県白山市白峰ロ9,1,,,36.174263637511,136.62662172229,
808,E1721000084111,白峰小学校（体育館）,石川県白山市白峰二110,,,,36.178067210447,136.62568799966,
809,E1721000085111,東部農村研修センター,石川県白山市八ツ矢町175,,,,36.526283746992,136.57083115111,
810,E1721000086111,わかみや保育所,石川県白山市八ツ矢町500-1,,,,36.524163143433,136.57373631871,
811,E1721000087111,わかみや児童センター,石川県白山市八ツ矢町566,,,,36.524038127865,136.57204652702,
812,E1721000090111,白山青年の家,石川県白山市八幡町戌142,,,,36.442403665674,136.63276059826,
813,E1721000091111,光野中学校（体育館）,石川県白山市番匠町468-1,1,,,36.535098181784,136.58196444406,
814,E1721000092111,北竜会館,石川県白山市尾添ヌ243,1,,,36.269857530755,136.7153961041,
815,E1721000093111,美川地域防災コミュニティセンター,石川県白山市美川永代町ヲ266-1,1,,,36.48776,136.484011,
816,E1721000095111,美川中学校（体育館）,石川県白山市美川浜町タ5,1,,,36.489420721134,136.49231392861,
817,E1721000096111,美川スポーツセンター,石川県白山市美川浜町タ6,1,,,36.488936736352,136.49151255387,
818,E1721000097111,美川コミュニティセンター,石川県白山市美川浜町ヨ103,,,,36.491041941342,136.49193321591,
819,E1721000098111,美川小学校（体育館）,石川県白山市美川和波町ワ229,,,,36.49006834808,136.48372526373,
820,E1721000099111,北部農村健康センター,石川県白山市蕪城4-15,,,,36.533028852992,136.55284968982,
821,E1721000100111,北星中学校（第二体育館）,石川県白山市平木町112-1,,,,36.536682871583,136.54158454436,
822,E1721000101111,鳥越コミュニティセンター,石川県白山市別宮町ロ170,,,,36.358426094633,136.60459561879,
823,E1721000102111,蕪城小学校（体育館）,石川県白山市北安田町355,,,,36.52958289233,136.55027381946,
824,E1721000103111,ぶじょうこども園,石川県白山市北安田町396-1,,,,36.529161785621,136.55281836537,
825,E1721000104111,松任小学校（体育館）,石川県白山市末広1-100,,,,36.519492333537,136.56723296899,
826,E1721000105111,松任中学校（体育館）,石川県白山市末広2-1,,,,36.51718073954,136.56894574842,
827,E1721000106111,湊小学校（体育館）,石川県白山市湊町カ307,1,,,36.474082063541,136.47802936131,
828,E1721000107111,湊防災コミュニティセンター,石川県白山市湊町ヨ70-1,1,,,36.479027109579,136.47761563153,
829,E1738600002111,樋川小学校体育館,石川県宝達志水町荻島に30,1,,,36.856753286402,136.77720532511,
830,E1738600003111,産業センター,石川県宝達志水町河原ト120,1,,,36.818009262814,136.76715520934,
